products_id,products_and_services,clustered_id
6329c632a50b442df93c7a2a8ce8d71fdf0cb1c9,industrial equipment hire,6329c632a50b442df93c7a2a8ce8d71fdf0cb1c9
62e4e4fc1628f7629ca969a367605fffecf72386,trailer rental,62e4e4fc1628f7629ca969a367605fffecf72386
83dd28b2d46c4e7fb0e18b61f70f1577cce416dc,wc containers,83dd28b2d46c4e7fb0e18b61f70f1577cce416dc
9cebf1d82a57997c290ca545f3a82db5bb0d3c57,environment - services,9cebf1d82a57997c290ca545f3a82db5bb0d3c57
eb61c543724475a55cd30d8aa32c6c5cefe079cb,recycling and recovery - miscellaneous materials,8b60e9d739b5a5bfd87cbfe67501ab4fa6e41504
165ed625a76719217ee681a02063a0be9d31aa00,cleaning services,165ed625a76719217ee681a02063a0be9d31aa00
921143e073678d3286a68af204fb2f626340d8d3,bicycle components and parts,09a528497548f39593636a14930240316b952939
8e93958fb1835c27ba0484fe1703f9bfc0eecae5,automotive materials,8e93958fb1835c27ba0484fe1703f9bfc0eecae5
599b3f75cb0d0e91987ea46b156fda9745d96816,construction materials,2886654ee7ba647c0c74f1c4e7a7ce8f5aa3733a
79cd7aa03e65b3e6c56d3f2df18cad92c9637584,big bags for mining equipment,79cd7aa03e65b3e6c56d3f2df18cad92c9637584
dde4df4437c5903cf32f5fdacd931a2588513d84,customised big bags,dde4df4437c5903cf32f5fdacd931a2588513d84
5c2bbe75a201cca5f891aa368310f0bb590e80f9,polypropylene big bags,5c2bbe75a201cca5f891aa368310f0bb590e80f9
c44c32a61aff139cc4768821ff0edc9c43efc204,letter box,c44c32a61aff139cc4768821ff0edc9c43efc204
362933b6cc82fc371e64ba3d8b49cec9ad36ef31,forwarding crates,362933b6cc82fc371e64ba3d8b49cec9ad36ef31
403d43a6d828aa6298c02444a86a6c2e62880bdc,fast delivery,403d43a6d828aa6298c02444a86a6c2e62880bdc
30f0cd442b64942c43952f16ec1706f06bab825a,cars - electrical and electronic parts and components,4f3e02ebb9be7b1b9e903f41853c5c4617add92a
f8ce7b98b9d2c878ed4f4f9605d1100249c8a2bf,"meats, cooked and cured",690b720300ccfbaa90e353198dfedd659c02dab2
e1f15f07886f40f6915903750750862a574b5495,"bread, cakes and pastries",5ddc2ae17d5b13b4e5b3215177685116565f5058
f17ded9743dd20cec3864922869854e21312a2a4,plants,f17ded9743dd20cec3864922869854e21312a2a4
8f1840856c289f28658452cbfb24d7e75eca75e8,office plants,8f1840856c289f28658452cbfb24d7e75eca75e8
99da21ce35998725ba97ad4d4f349ce76bab904c,vehicles - accessories and equipment,fc8ef5e555bb444e1e1ae15ee79feb143d8d1b65
a7881657486d584a5863f2bbe8200cc4a1419fe4,"lubricants, industrial",a446c7dbbf441b2c4f5927fc4d8be1d13852628c
e40818ef2835c259af9a6fbe4b2da21f57190a08,taxi companies,e40818ef2835c259af9a6fbe4b2da21f57190a08
eea5fc3f0788ee8a0b66b1c025f753fa587159c0,ceramics for floors and coatings,0b29ba448d958cc3bf2d441bf8b78062938715e3
fd55a2c073a251dc9ebdcb9ba37d62335385c84b,small pictures,fd55a2c073a251dc9ebdcb9ba37d62335385c84b
235b3087b5361e47fab8b5227a30735e9af782f4,paving tiles,235b3087b5361e47fab8b5227a30735e9af782f4
a023df754e40efef6793159e3fc8846c05418864,tile setter,a023df754e40efef6793159e3fc8846c05418864
25640c4a3d2238e4992a7bcef998a928e0dd96b2,wall coverings,fb13d858974df37070058dfeaa5fff4d1c435571
c117520e95b351c97f503b42b65abac6dd4d26ff,posters,c117520e95b351c97f503b42b65abac6dd4d26ff
f9adc27a27344e5680935ef03617f7d95d143f68,playbills - design,f9adc27a27344e5680935ef03617f7d95d143f68
0a4b9c7f71d62ef1793cfa0854d3d1b1ed75a8ab,quality posters,0a4b9c7f71d62ef1793cfa0854d3d1b1ed75a8ab
a0a71ee032916f7a40c2656b9d01b199fe1e6698,air-freight services,9d293d186a8d84bb67bb98d7b4a42276ec3b15f4
dc2e78645a97c24e238382ec9cb4cb1274118ec5,sails and accessories,1a2f01a1248f12e30ddac7212972de31901e9e78
e5d10e939baf699cf615a761a16d1b88b2629923,domestic waste treatment,e5d10e939baf699cf615a761a16d1b88b2629923
1fc651b199f0be0c9ee930723d18deb8c945df8b,"dustbins, waste bins",eba41c10c8ad4b32154b629a0471b784dda6e429
5b059b8176d279a8e21a6b2c7262fb1a7ed60419,natural textile waste,5b059b8176d279a8e21a6b2c7262fb1a7ed60419
1619eed9750128ae467dafd85542d27f03309202,processing and recycling of waste,c7b65ab39b25730b8d61f360ac3fda83972dc9b0
6b89a4e906d77e655e2fef394c7c56213688f0ae,building debris - recycling,110cadda7e6554e3a4c70aa174318f3b588f49f7
5657c4db2b1e7ca1da15e5291c669fde9d7b9962,construction - finishings,5657c4db2b1e7ca1da15e5291c669fde9d7b9962
556282ea9c77565b877b1e59ddce8a24570bf2b5,textile finishing,556282ea9c77565b877b1e59ddce8a24570bf2b5
413af762762799f2fc8d305fc177c231931e167d,textile printing,413af762762799f2fc8d305fc177c231931e167d
74d1090d857221ea50c21eab1907fd12bc4224da,musical instruments and accessories,40aed0ada56936a74113c7373eed59bccf5ca6f7
99ccdc7493091d0b3b0eee299d1c02d749f7b475,pianos and keyboard instruments,0f8a0a9d0a17a8161ecc00947a366d15e285d03f
d3470d6b0ac073046fcd8168bbf96cc0229b370f,wind instruments,d3470d6b0ac073046fcd8168bbf96cc0229b370f
af8cc0abe614e8828e363d90761b7f3334102fdc,shearing - steels and metals,0c5fe90169d9f8d2bfe46e5ef96a038a2c5bb961
5a8f2d9144133bd60aac76a1bd9310ca43d4fff4,drinks,7ca7a4abcc2d7c17b202c21effe8258356c3593e
308fb6c6247a22be47f5ddce0ab543f386790eaf,special transport,308fb6c6247a22be47f5ddce0ab543f386790eaf
f21cee5e948ec98c54ccb04a0068ec7573b5239f,transport services,f21cee5e948ec98c54ccb04a0068ec7573b5239f
a6225bdce418ed1404113cb4c444a36c5de09059,wines - galicia,a6225bdce418ed1404113cb4c444a36c5de09059
ba921ab89d7edc53e4e16217f7b2aaa96c55975a,"camping and caravans - vehicles, parts and accessories",2a10d0109fe7351aeba7e910e5ea2f4709188971
9c4caad410f69142937be9586b3f2eea687de932,vehicles - mechanical components and parts,0ad109876c2865a2a05dff9ff75f26368f6f78c8
9db5a1d75958448494ceccffd39847eae74e88f4,"cars, used",9e32521dd2f8b27b64fe869fdadfa53e7d976f56
ece77a36eb74e84b5292d5073621d60cbd743a80,gas - production and distribution,facafa74878399363f0b336bec9baceccc71b517
987cb9b41307a9b782abecc83c4ffb1ca1051864,petroleum fuels and additives,fe806a531bab305a513df60921abd57d20f8d0ad
108b4a8c757f803975203b0f96bbae80f4dfddbe,"gases, compressed and liquefied",a4b44983f94e3a48333f0ffd45e4006d87818f28
5ac9a3715da521bed0588a19e2fb6cf86a7b915b,rubber products,5ac9a3715da521bed0588a19e2fb6cf86a7b915b
756bee18f24564147bda335990f1889b0957ab63,filtering equipment and supplies,56cda8967f291ed0dafd2f880bd228648ff70a4d
c6ba7a0f94c11723c197186a2bb5a68079d2bb5a,water retreatment - equipment and installations,e5b07aefdfe57b8cc66afa308dd68773d03bdd7c
a49bd7188a62f7c1b7aed85d23822e916080b1a1,storage equipment and systems,b246db06f4c5e48985db1c58a24e50c5c3e00549
be4e7aef076fb0449be614213d3e6562c318fdde,"furniture, household",be4e7aef076fb0449be614213d3e6562c318fdde
