products_id,products_and_services
ac14c816348ede9017c3ad5aa57f2b33f06cf173,concrete forms
2bb6d88eb6c3b26e68ea980063bb54b6a95ee0b1,formwork contractors
71edff94e7afbd6950a5fa0a5aa0693dfc8b67e6,plywood manufacture - machines and equipment
b8114546a306ba121b286d2755b51e26e7bdb407,building
5bbf0da87562c16bd447fa0f1b49d4dde9ae633c,site building
62b524359a789c908b0663bf8208a06314ffee24,trestles
83549f53a561b363d615546078cf555e42b54b35,gas - production plants
c5312b9503b1eb9cea97f7509aae76b18957ce5f,regulation and mixing systems for gaseous fluids
6eb02539c5742a18beefa7d55f70a572e637b07c,catalysts
abcc8c79f79fb2ad83035f9f623627c7d29a43a5,coachbuilding
a215d35bfe9586bbbcf5fc62db97cfec58403c2a,bodywork shop
6d95c6ef2e28aeeef6d05e4e4499d34f4d778506,bodywork fitting
20ffa4c9bae74888ad3c7929e7037b1c9ec204ca,robotised welding
88d11e60f7fb55b3bc862ca15372175d823a1a84,"automatic grilles, doors and gates"
0cb7db82d01f8fa5519f8615dcb8157de7a75719,"heating, industrial - installations and equipment"
e1dfc9840f4c9ceaa751d38aede3cbdc27bdbb26,travelators
bc66891ff51ad78fae7bf1b7395eee4f4f56d395,motorcycles
f4ae9d7b6d82e19790566ba35426663c136d659e,scooters
29778e270c5cf50f4a066c96f26ca52ad9e5c511,scrap iron - salvaging and recycling
f90046845b4f036a81b8d9aa59fdb4fcbfac2efb,folders - office equipment
a2855c508adb31fb42d381962f2d6fdc179dc336,"bottles and jars, plastic"
43cbe626ce5373237b21d1ce71394b0b664380ab,bus and minibus with driver
b87b8f7fbae68578e6f7eb7ae000908403683f2e,coach hire france
5a4a1b8f0f6cbb0e7920c7d459507f8fcb230bbb,coach passenger reception services
4be699059edf18e658a769cc276cd4ba9e6ec3f5,business consultancy
6ae6bf2b6075b09c112eba875ad21e04729f5c7e,management training
35dc78bb6201e6cad0d80b88bbe4b85a185e9663,professional coaching
6609e8222c3ee09957fa8312274a904b3e61d300,management training courses
073a414a67a971eebd81e917d154f08a4b0f0227,naval construction
e664ffbe3a78afc7ab11f802f6effc60dbc91bf2,pleasure boats
5ad31b12d40d1fac6e68631f9bd5539a6b076a33,"pleasure boats - components, engines and equipment"
86421dc6f258f4fc5d9eebda8e1d5a13f4e46124,accumulators and batteries
b27ed258233998e2c14c0f27c7321e53812f2096,home automation
