,products_and_services,products_id,language (ISO-code),typo_corrected
157,silver bangles,ca68f679-2628-4e93-85d5-a0b5c2a87829,no,silver bangles
158,250l kraftliner drums,49f99ac8-520a-41d0-9d4e-95528dd323d3,da,250l kraftliner drums
159,14 ct gold jewellery,afa41d61-de03-41a2-bd02-56d608089c1b,pl,14 ct gold jewellery
160,stainless steel ball valves,46b1e940-df9e-4b01-8574-2634f0f2395c,et,stainless steel ball valves
161,wire nylon,46d7ef5d-2f8f-4c7f-9966-bea955274b87,pl,wire nylon
162,mjdmetal,f8e86525-04b3-4976-a38c-29677aaf7f67,hr,mjdmetal
163,heat engineering,291158a4-fe24-4f69-bd2b-44a727c9124e,nl,heat engineering
164,urea 46%,2d92548a-4d87-475e-a8a8-dbcdedfaf830,ro,urea 46%
165,urea fertilizer,64a193ed-ec67-4677-b044-b9fedd3e1f75,ro,urea fertilizer
166,urea granular,42eec4f2-4ddd-47a2-908d-7f58e39edc23,ro,urea granular
167,granulated urea,27a3c1f2-3c94-4864-a417-3ce48961136c,ro,granulated urea
168,carbamide,137ddd3f-6226-443e-949c-b9f98cabbb1d,so,carbamide
169,urea suppliers,32e96f5c-30de-4669-b4d0-f974d5753ae6,ro,urea suppliers
170,dog collar,8c2e403f-f882-4bf7-a0e9-15d617a62a2d,it,dog collar
171,wooden spindle,ab5ea359-a7f9-400d-81f6-c8c60a1647c3,nl,wooden spindle
172,wooden ball & bead,afde762d-9e8c-4834-a38a-3a5389430c4d,nl,wooden ball & bead
173,wooden knobs,cfaccb94-1d03-4c36-92f2-cfa8cc4695b6,nl,wooden knobs
174,wooden turnings,b2ad6f7d-8696-48ab-943d-262fb9255268,af,wooden turnings
175,wooden gift box,007ed2f2-91a9-4e3e-b0bb-906b5af0ee30,nl,wooden gift box
176,stillages,31c764ae-9c9e-4440-8d92-5acf78563199,sv,stillages
177,big bag racks,05bac90b-7be4-400c-a090-072024ba94a6,tl,big bag racks
178,plastic pallet boxes,82db3ae3-faf0-4466-85a9-a3906c786250,fr,plastic pallet boxes
179,steel pallet containers,5c107222-445f-4edf-942c-a383708ea5e3,fr,steel pallet containers
180,big bag frames,85be97af-82bb-46ba-a737-d43b79f35b72,da,big bag frames
181,big bag holder,7603218e-8bf5-40f3-a3b6-85c3e4497ca3,da,big bag holder
182,steel and wood tilting doors,e03be6bd-3d24-41a2-b95c-73d5611e6c5b,af,steel and wood tilting doors
183,wooden sheds,2c116511-10bd-433a-bf77-92062fc5567f,nl,wooden sheds
184,individual,5ec8a958-8b02-4553-975a-9f7d111ebe3c,it,individual
185,aangespoeld,4ce0936b-3c65-4177-8aeb-fe034b6f1994,af,aangespoeld
186,kenmerk,95393ad4-b9be-487f-953f-e44fd82a8cfa,tr,kenmerk
187,bamboo furnishings,c9da8eae-9650-4046-a03d-09f3b2b02699,sw,bamboo furnishings
188,wooden eye and sun glasses,8dc06f02-34f5-4668-a6bf-fd865be29f2c,af,wooden eye and sun glasses
189,handmade wooden products,95011993-95da-4e55-ac30-9f56bbac4015,nl,handmade wooden products
190,pvc floors,2f546b3f-7cbd-4ea4-93b2-d6e02d7c90bb,da,pvc floors
191,fungicides and bactericides,ff9b35ea-3cd0-467e-922e-ab721527823b,es,fungicides and bactericides
192,indoor trampolines,91ca963e-1db4-42c0-95b7-0e51597eb9b0,nl,indoor trampolines
193,restaurant charcoal,859fb684-ced1-4cee-b58d-797db7f3cbf7,fr,restaurant charcoal
194,multilayer panels,e79b1c37-0704-4205-b616-b5ceb06ed6dd,tl,multilayer panels
195,teak furniture,ec22970e-5d38-4c6e-abfa-a8a543c40c72,ro,teak furniture
196,veneer edges,dbf70338-a721-400a-9a40-8c544495faa4,nl,veneer edges
197,organic spices,18748758-c4ae-41c2-85e2-b393a05e52f5,ro,organic spices
198,organic turmeric,b9204cc4-b016-4c68-88c2-d696384482ef,ro,organic turmeric
199,multi brand cosmetics,e6d9b33c-750d-448a-8f34-0a9ea4229f2b,ca,multi brand cosmetics
200,niche perfumes supplier,06ec83a9-fcc2-4ae4-bf4e-c36c9cc78b79,it,niche perfumes supplier
201,face products,10b5d23b-26f7-4f82-ab48-b314a2a780d7,ro,face products
202,cuban cigars,b3fa2c16-719e-4c5a-944c-22b4963ebeae,so,cuban cigars
203,cigar accessories,f6a77125-7d84-4f18-b693-74b0f22ab7e0,it,cigar accessories
204,vanilla beans,a0ec8d1d-7ebe-4329-8064-227d3558b031,sv,vanilla beans
205,fruit traders,6361f923-6338-45d6-bd27-79c61cfb9ebc,ca,fruit traders
206,vanilla vanille vanili vainilla vanilje vanilja vanilj,8ec1b9d4-1db1-496d-87e5-33b2a22a011d,fi,vanilla vanille vanili vainilla vanilje vanilja vanilj
